Example,Seasonality,Reproductive Strategy ,Form,stem,Leaf position,Leaf shape,petiole,heads,Flower position,Phyllary/bracts,Receptacle/pedicel,Flowers types,Anther base,Anther tip,Corolla color,style tip,style branching,Fruit shape,Pappus/calyx/sepal,rhizome,Class
Arabis,perbi,monoecious,,branched,alternate,"entire,dentate,","yes,no",none,,0,erect,bisexual,,,wpu,,,"straight,curved",,,Brassicaeae
Aubrieta,perennial,monoecious,,"prostrate,branched",alternate,"obovte,entire,dentate",,none,terminal,,,bisexual,,,rpu,,,"flat,cylindric",,,Brassicaeae
Barbarea,perbi,monoecious,,"erect,stiff",alternate,"lobed,compound,",no,none,terminal,0,,bisexual,,,yellow,"short,slender",,"linear,cylindric",,,Brassicaeae
Brassica,both,monoecious,,"erect,branched",alternate,"dentate,lobed,",yes,none,terminal,0,,bisexual,,,yellow,,,"linear,conic,cylindric",erect,,Brassicaeae
Cakile ,both ,monoecious,,"erect,decumbent",alternate,"fleshy,lobed,compound","yes,no",none,terminal,0,,bisexual,,,wp,,,fleshy,,,Brassicaeae
Cardamine,peranbi,monoecious,,,alternate,"entire,lobed,palmate,compound",,none,,"0,present",,bisexual,,,wrp,,,"linear,flat",equal,"yes,no",Brassicaeae
Caulanthus,both,monoecious,,"ascending,erect",alternate,"entire,rosetted,oblanceolate,obovate,linear","yes,no",none,,0,,bisexual,,,,,,cylindric,erect,,Brassicaeae
Caulostramina,perennial ,monoecious,,"few,many,branched",alternate,"elliptic,ovate",yes,none,,0,"spreading,ascending",bisexual,,,wpu,,,"linear,cylindric",,,Brassicaeae
Chorispora,peranbi,monoecious,,,alternate,"entire,lobed",,none,,0,,bisexual,,,wyblpu,,,cylindric,,,Brassicaeae
Descurainia,"annual,biennial",monoecious,,branched,alternate,"lobed,compound,rosette",,none,,0,present,bisexual,,,yw,"short,0",,"linear,obovate,cylindric",,,Brassicaeae
Diplotaxis,peranbi,monoecious,,"ascending,erect,branched",alternate,"rosette,lobed,toothed","yes,no",none,,,present,bisexual,,,yellow,"short,0",,"linear,cylindric,flat",sac like,,Brassicaeae
Eruca,both ,monoecious,,,alternate,"lobed,compund,entire","yes,no",none,,0,"ascending,erect",bisexual,,,yw,,,"linear,oblong,elliptic",erect,,Brassicaeae
Erucastrum,annual,monoecious,,,alternate,"entire,lobed,compound","yes,no",none,,,present,bisexual,,,yw,,,linear,erect,,Brassicaeae
Erysimum,annual,monoecious,subshrub,branched,alternate,"rosette,simple,entire,lobed",,none,,,present,bisexual,,,cro,,,"narrow,round,flat,",,,Brassicaeae
Guillenia,annual,monoecious,,hollow,alternate,"rosette,oblanceolate",yes,none,,0,present,bisexual,,coiled,,tapered,,cylindric,,,Brassicaeae
Halimolobos,perbi,monoecious,,erect,alternate,"simple,entire,lobed",,none,,,"spreading,ascending",bisexual,,,,,,"linear,cylindric",erect,,Brassicaeae
