Example,Shoot growth form,Leaf distribution along the axis (arrangement),Apomixis,Plant growth form,Plant growth form standardized,Flower sexual system,Species reproduction types,Flower color,Fruit type,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf type,"Dicliny (monoeceous, dioecious, hermaphrodite)",Fertilization,Seed morphology,Plant functional type PFT (Sheffield DGVM 1),Plant functional type PFT (Sheffield DGVM 2),Plant functional type PFT (Sheffield DGVM 3),Plant functional type PFT (LPJ DGVM 1),Plant functional type PFT (LPJ DGVM 2),"Plant functional type PFT (Poulter, B)",Leaf shape,Dichogamy,Growth Form,Low Growing Grass,Shape and Orientation,Plant functional type PFT (Biome-BGC 1),Plant functional type PFT (Biome-BGC 2),Flower - Inflorescence,Flower - Corolla,Leaf shape: driptip,Class
Solanum aculeatissimum,,alternate,,herb|shrub,Shrub,andromonoecy,,white,berry,,,,,,,,,,,,,,,,deeply lobed,,,,,,,solitary (or few) flowers,,,Solanum
Solanum agnewiorum,,alternate,,shrub,,andromonoecy,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,solitary (or few) flowers,(partly) united,,Solanum
Solanum americanum,Stem prostrate,alternate,"amphimicitc, sexual",herb|shrub,Herb,hermaphrodite,by seed/by spore,white,berry,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,hermaphrodite,normally self,Pulp,,,,,,,ovate or elliptic etc.,homogamous,,,,,,umbel-like,(partly) united,,Solanum
Solanum anguivi,,alternate,,shrub|tree,,hermaphrodite,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,raceme (-like),(partly) united,,Solanum
Solanum arundo,,opposite,,shrub|tree,,andromonoecy,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,raceme (-like),(partly) united,,Solanum
Solanum campylacanthum,,alternate,,woody,,andromonoecy,,purple,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,raceme (-like),(partly) united,,Solanum
Solanum chrysotrichum,,alternate,,shrub|tree,Shrub,andromonoecy,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,"cyme, dichasium etc.",(partly) united,,Solanum
Solanum coagulans,,alternate,,herb,,hermaphrodite,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,raceme (-like),(partly) united,,Solanum
Solanum cyaneopurpureum,,alternate,,shrub,,hermaphrodite,,purple,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,raceme (-like),(partly) united,,Solanum
Solanum dasyphyllum,,alternate,,herb,,andromonoecy,,purple,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,umbel-like,(partly) united,,Solanum
Solanum dennekense,,alternate,,shrub|tree,,andromonoecy,,purple,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,solitary (or few) flowers,(partly) united,,Solanum
