Example,Shoot growth form,Leaf distribution along the axis (arrangement),Apomixis,Plant growth form,Plant growth form standardized,Flower sexual system,Species reproduction types,Flower color,Fruit type,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf type,"Dicliny (monoeceous, dioecious, hermaphrodite)",Fertilization,Seed morphology,Plant functional type PFT (Sheffield DGVM 1),Plant functional type PFT (Sheffield DGVM 2),Plant functional type PFT (Sheffield DGVM 3),Plant functional type PFT (LPJ DGVM 1),Plant functional type PFT (LPJ DGVM 2),"Plant functional type PFT (Poulter, B)",Leaf shape,Dichogamy,Growth Form,Low Growing Grass,Shape and Orientation,Plant functional type PFT (Biome-BGC 1),Plant functional type PFT (Biome-BGC 2),Flower - Inflorescence,Flower - Corolla,Leaf shape: driptip,Class
Alchemilla alpina,Stem ascending to prostrate,no rosette,obligat apomictic,b H,Herb,hermaphroditic,by seed and vegetatively,green,nut,toothed,rounded,length = width,cuneate,petiolate,,hermaphrodite,apomictic,"No appendages, coarse surface",,,,,,,,,,,,,,,,,Alchemilla
Alchemilla colorata,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla conjuncta,,no rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla connivens,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla coriacea,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla crinita,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla decumbens,,semi-rosette,obligat apomictic,b H,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla effusa,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla fallax,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla filicaulis,Stem ascending to prostrate,semi-rosette,obligat apomictic,Forbs,Herb,hermaphroditic,by seed and vegetatively,green,nut,lobed and toothed,rounded,length = width,cordate,petiolate,,hermaphrodite,apomictic,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla fissa,,no rosette,obligat apomictic,b H,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla flabellata,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla glabra,Stem erect,no rosette,obligat apomictic,Forbs,Herb,hermaphroditic,by seed and vegetatively,green,nut,lobed and toothed,rounded,length = width,cordate,petiolate,,hermaphrodite,apomictic,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla glaucescens,Stem ascending to prostrate,semi-rosette,obligat apomictic,Forbs,Herb,hermaphroditic,by seed and vegetatively,green,nut,lobed and toothed,rounded,length = width,cordate,petiolate,,hermaphrodite,apomictic,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla glomerulans,Stem erect,no rosette,obligat apomictic,H,Herb,hermaphroditic,by seed and vegetatively,green,nut,lobed and toothed,rounded,length = width,cordate,petiolate,,hermaphrodite,apomictic,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla hoppeana,,semi-rosette,obligat apomictic,b H,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla incisa,Stem ascending to prostrate,semi-rosette,obligat apomictic,herb,Herb,hermaphroditic,by seed and vegetatively,green,nut,,,,,petiolate,,hermaphrodite,apomictic,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla inconcinna,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla mollis,Stem erect,semi-rosette,obligat apomictic,Forbs,Herb,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla monticola,Stem ascending to prostrate,no rosette,obligat apomictic,Forbs,Herb,hermaphroditic,vegetative & generative,green,nut,lobed and toothed,rounded,length = width,cordate,petiolate,,hermaphrodite,apomictic,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla obtusa,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla propinqua,Stem ascending to prostrate,semi-rosette,obligat apomictic,H,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,na,na,na,na,na,,,,,,,,,,,,Alchemilla
Alchemilla reniformis,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla straminea,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla strigosula,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla subcrenata,Stem erect,semi-rosette,obligat apomictic,Forbs,Herb,hermaphroditic,by seed and vegetatively,green,nut,lobed and toothed,rounded,length = width,cordate,petiolate,,hermaphrodite,apomictic,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla subglobosa,Stem ascending to prostrate,semi-rosette,obligat apomictic,Forbs,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla tenuis,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla tirolensis,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla trunciloba,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla versipila,Stem ascending to prostrate,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla xanthochlora,Stem erect,no rosette,obligat apomictic,herb,Herb,hermaphroditic,by seed and vegetatively,green,nut,lobed and toothed,pointed,length = width,cordate,petiolate,broadleaved,hermaphrodite,apomictic,Open structures,,,,,,Boreal,,,,,,,,,,,Alchemilla
Carex acuta,Stem erect,semi-rosette,"amphimicitc, sexual",hygrophyte,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Pulp,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex acutiformis,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoid,Herb,monoecious,vegetative,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex alba,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex appropinquata,Stem erect,rosette,"amphimicitc, sexual",Graminoids,Herb,andromonoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex aquatilis,Stem erect,semi-rosette,"amphimicitc, sexual",graminoid,Herb,monoecious,by seed and vegetatively,Green,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,broadleaved,monoecious,,Closed structures,C3H,GC3,GC3,TmpH,GC3,Polar,always grass-like,,Bunch,No,Erect,GC3,GC3,,,,Carex
Carex arenaria,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,vegetative,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex atherodes,Stem erect,semi-rosette,"amphimicitc, sexual",mesoxerophyte,Herb,monoecious,by seed and vegetatively,Green,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,Rhizomatous,No,Erect,,,,,,Carex
Carex atrata,Stem erect,rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex atrofusca,Stem erect,semi-rosette,,graminoid,Herb,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,broadleaved,monoecious,,Closed structures,,,,,,Boreal,,,,,,,,,,,Carex
Carex baldensis,,rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,,,,,,,,always grass-like,,,,,,,,,,Carex
Carex bigelowii,Stem erect,semi-rosette,"amphimicitc, sexual",graminoid,Herb,monoecious,vegetative,Green,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,broadleaved,monoecious,,Closed structures,C3H,GC3,GC3,TmpH,GC3,Boreal,always grass-like,protogynous,Stoloniferous,No,Erect,GC3,GC3,,,,Carex
Carex binervis,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex bohemica,Stem erect,semi-rosette,"amphimicitc, sexual",grass,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex brachystachys,,rosette,"amphimicitc, sexual",grass,,monoecious,by seed and vegetatively,,nut,,,,,,,,,,,,,,,,always grass-like,,,,,,,,,,Carex
Carex brizoides,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex brunnescens,Stem erect,rosette,"amphimicitc, sexual",grass,,monoecious,by seed and vegetatively,,nut,,,,,,,,,,,,,,,,always grass-like,,,,,,,,,,Carex
Carex buekii,Stem erect,semi-rosette,"amphimicitc, sexual",,,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex buxbaumii,Stem erect,rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex canescens,Stem erect,rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,Green,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,,,,,,,,always grass-like,,Rhizomatous,No,Erect,,,,,,Carex
Carex capillaris,Stem erect,semi-rosette,"amphimicitc, sexual",graminoid,Herb,monoecious,by seed and vegetatively,Green,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,broadleaved,monoecious,normally cross,Closed structures,,,,,,Polar,always grass-like,protogynous,Bunch,No,Semi-Erect,,,,,,Carex
Carex capitata,,always Hemirosette plant,"amphimicitc, sexual",Graminoid,Herb,monoecious,by seed and vegetatively,,nut,,,,,,broadleaved,,,,GC3,GC3,GC3,GC3,GC3,,always grass-like,,,,,GC3,GC3,,,,Carex
Carex caryophyllea,Stem erect,rosette,"amphimicitc, sexual",herb,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,,,,,,,,always grass-like,protandrous,,,,,,,,,Carex
Carex cespitosa,Stem erect,rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex chordorrhiza,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,,,,,,,,always grass-like,,,,,,,,,,Carex
Carex colchica,Stem erect,semi-rosette,"amphimicitc, sexual",xerophyte,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex crawfordii,,always Hemirosette plant,"amphimicitc, sexual",grass,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,,,,,,,,always grass-like,,,,,,,,,,Carex
Carex cuprina,Stem erect,rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,,,,,,,,always grass-like,,,,,,,,,,Carex
Carex davalliana,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,trimonoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex depauperata,Stem erect,semi-rosette,"amphimicitc, sexual",grass,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,,,,,,,,always grass-like,,,,,,,,,,Carex
Carex diandra,Stem erect,semi-rosette,"amphimicitc, sexual",herbaceous,Herb,monoecious,by seed and vegetatively,Green,nut,toothed,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,Closed structures,,,,,,,always grass-like,,Bunch,No,Erect,,,,,,Carex
Carex digitata,Stem erect,rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,"mostly by seed, rarely vegetatively",,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex dioica,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,trimonoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,dioecious,obligatory cross,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex distans,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex disticha,Stem erect,semi-rosette,"amphimicitc, sexual",sedge,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex divisa,Stem erect,leaves distributed regularly along the stem,,Herbaceous perennial,Herb,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,Closed structures,,,,,,,,,,,,,,,,,Carex
Carex divulsa,Stem erect,rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,vegetative & generative,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex echinata,Stem erect,rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,Green,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,Bunch,No,Erect,,,,,,Carex
Carex elata,Stem erect,rosette,"amphimicitc, sexual",Graminoid,,andromonoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex elongata,Stem erect,rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex ericetorum,Stem erect,rosette,"amphimicitc, sexual",grass,,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex extensa,Stem erect,semi-rosette,"amphimicitc, sexual",Herbaceous perennial,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex ferruginea,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex firma,,,"amphimicitc, sexual",Graminoids,,monoecious,by seed and vegetatively,,nut,,,,,,,,,,,,,,,,always grass-like,,,,,,,,,,Carex
Carex flacca,Stem erect,semi-rosette,"amphimicitc, sexual",herb,Herb,monoecious,"mostly vegetatively, rarely by seed",,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,B,monoecious,normally cross,Closed structures,na,na,na,na,na,,always grass-like,protogynous,,,,,,,,,Carex
Carex flava,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoid,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex frigida,,semi-rosette,"amphimicitc, sexual",Graminoids,,monoecious,by seed and vegetatively,,nut,,,,,,,,,,,,,,,,always grass-like,,,,,,,,,,Carex
Carex fuliginosa,,semi-rosette,"amphimicitc, sexual",graminoid,Herb,monoecious,by seed and vegetatively,,nut,,,,,,broadleaved,,,,,,,,,Polar,always grass-like,,,,,,,,,,Carex
Carex globularis,Stem erect,always Hemirosette plant,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex halleriana,Stem erect,rosette,"amphimicitc, sexual",G,,monoecious,by seed and vegetatively,,nut,,,,,,broadleaved,,,,GC3,GC3,GC3,GC3,GC3,,always grass-like,,,,,GC3,GC3,,,,Carex
Carex hartmanii,Stem erect,rosette,"amphimicitc, sexual",graminoid,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex heleonastes,Stem erect,always Hemirosette plant,"amphimicitc, sexual",,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex hirta,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex hordeistichos,Stem ascending to prostrate,semi-rosette,"amphimicitc, sexual",sedge,,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex hostiana,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,,,,,,,,always grass-like,,,,,,,,,,Carex
Carex humilis,Stem erect,rosette,"amphimicitc, sexual",graminoid,Herb,monoecious,"mostly by seed, rarely vegetatively",,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,broadleaved,monoecious,,Elaiosome,,,,,,Temperate,always grass-like,protogynous,,,,,,,,,Carex
Carex laevigata,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex lasiocarpa,Stem erect,semi-rosette,"amphimicitc, sexual",graminoid,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,broadleaved,monoecious,,Closed structures,na,na,na,na,na,Boreal,always grass-like,,,,,,,,,,Carex
Carex leporina,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,Elongated appendages,,,,,,,always grass-like,,,,,,,,,,Carex
Carex limosa,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,Green,nut,serrulate,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,Rhizomatous,No,Erect,,,,,,Carex
Carex loliacea,Stem erect,semi-rosette,"amphimicitc, sexual",grass,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,,,,,,,,,,,Carex
Carex melanostachya,Stem erect,semi-rosette,"amphimicitc, sexual",xerophyte,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex michelii,,semi-rosette,"amphimicitc, sexual",grass,,monoecious,by seed and vegetatively,,nut,,,,,,,,,,,,,,,,always grass-like,,,,,,,,,,Carex
Carex microglochin,Stem erect,semi-rosette,"amphimicitc, sexual",grass,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,,,,,,,,always grass-like,,,,,,,,,,Carex
Carex montana,Stem ascending to prostrate,rosette,"amphimicitc, sexual",herb/sub-shrub,Herb,monoecious,"mostly by seed, rarely vegetatively",,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Elaiosome,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex mucronata,,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,,,,,,,,always grass-like,,,,,,,,,,Carex
Carex muricata,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,vegetative & generative,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex nigra,Stem erect,rosette,"amphimicitc, sexual",graminoid,Herb,andromonoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,broadleaved,monoecious,,Closed structures,na,na,na,na,na,Temperate,always grass-like,,,,,,,,,,Carex
Carex norvegica,Stem erect,rosette,,Graminoids,Herb,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,Closed structures,,,,,,,,,,,,,,,,,Carex
Carex obtusata,,semi-rosette,"amphimicitc, sexual",grass,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,,,,,,,,always grass-like,,,,,,,,,,Carex
Carex ornithopoda,Stem erect,no rosette,"amphimicitc, sexual",herb,,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,Elaiosome,,,,,,,always grass-like,,,,,,,,,,Carex
Carex pallescens,Stem erect,semi-rosette,"amphimicitc, sexual",herb/sub-shrub,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Elaiosome,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex panicea,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,Closed structures,na,na,na,na,na,,always grass-like,protandrous,,,,,,,,,Carex
Carex paniculata,Stem erect,rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,toothed,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex parviflora,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,,monoecious,by seed and vegetatively,,nut,,,,,,,,,,,,,,,,always grass-like,,,,,,,,,,Carex
Carex pauciflora,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex pediformis,Stem ascending to prostrate,semi-rosette,,grass,Herb,,,,,,,,,,,,,Closed structures,,,,,,,linear,,,,,,,,,,Carex
Carex pendula,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex pilosa,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex pilulifera,Stem erect,rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,na,na,na,na,na,,always grass-like,protogynous,,,,,,,,,Carex
Carex praecox,Stem erect,no rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex pseudobrizoides,Stem erect,semi-rosette,"amphimicitc, sexual",grass,,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex pseudocyperus,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,,protogynous,,,,,,,,,Carex
Carex pulicaris,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex punctata,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex remota,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex riparia,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
